name,voice_part,height
Ella Peterson,Alto 1,66
Brittany Ramirez,Alto 1,62
Hazel Ruiz,Alto 1,
Olivia Hall,Alto 1,64
Charlotte Long,Alto 1,64
Kelsey Davis,Alto 1,64
Hazel Reed,Alto 1,62
Stephanie Rivera,Alto 1,
Harper Morris,Alto 1,66
Brittany Cooper,Alto 1,
Gabrielle Coleman,Alto 1,65
Cassandra Allen,Alto 1,66
Lindsay Rivera,Alto 1,66
Hazel Clark,Alto 1,65
Megan Bennett,Alto 1,
Zoe Sanchez,Alto 1,
Elena Young,Alto 1,
Nadia Martinez,Alto 1,65
Amara Stewart,Alto 1,
Amanda Ross,Alto 1,66
Charlotte Lee,Alto 1,
Martha Collins,Alto 1,66
Paige Young,Alto 1,
Brooklyn Gonzales,Alto 1,62
Lindsay Smith,Alto 1,64
Hannah Powell,Alto 1,62
Maria Hill,Alto 1,
Samantha Taylor,Alto 1,
Abigail Ross,Alto 1,64
Samantha Cooper,Alto 1,65
Sarah Evans,Alto 1,66
Samantha Peterson,Alto 1,67
Victoria Martin,Alto 1,65
Leah Collins,Alto 1,64
Jessica Jones,Alto 1,
Emma Barnes,Alto 1,64
Victoria Mitchell,Alto 1,65
Amara Hall,Alto 1,65
Victoria Reed,Alto 2,
Elena Thomas,Alto 2,64
Amara Sanders,Alto 2,
Aisha Lewis,Alto 2,
Nadia Rogers,Alto 2,66
Aria Torres,Alto 2,64
Aria Phillips,Alto 2,68
Jasmine Cook,Alto 2,68
Mia Parker,Alto 2,64
Aaliyah Howard,Alto 2,
Amara Wilson,Alto 2,67
Sarah Rogers,Alto 2,68
Caroline Stewart,Alto 2,66
Vanessa Foster,Alto 2,
Madison Henderson,Alto 2,
Audrey Henderson,Alto 2,
Yuki Reed,Alto 2,
Abigail Flores,Alto 2,67
Rebekah Bennett,Alto 2,65
Nicole Nguyen,Alto 2,
Amara Jones,Alto 2,63
Megan Jenkins,Alto 2,65
Anna Morgan,Alto 2,65
Destiny Jones,Alto 2,68
Hannah Young,Alto 2,68
Isabella Rogers,Alto 2,
Naomi Kelly,Alto 2,68
Samantha Morgan,Alto 2,68
Lindsay Baker,Alto 2,66
Harper Jones,Alto 2,
Rosa Diaz,Alto 2,63
Leah Reed,Alto 2,
Sofia Watson,Alto 2,64
Danielle Williams,Alto 2,
Emma Murphy,Alto 2,
Felicia Hughes,Alto 2,
Lucy Powell,Alto 2,64
Stephanie Henderson,Alto 2,63
Amelia Martinez,Alto 2,64
Stephanie Sanders,Alto 2,68
Aria Hayes,Alto 2,66
Sofia Young,Alto 2,
Zoe Thomas,Alto 2,65
Brittany Wood,Alto 2,67
Camila Harris,Alto 2,68
Martha Johnson,Alto 2,64
Sofia Foster,Alto 2,
Samantha Cooper,Alto 2,
Gabrielle Williams,Alto 2,
Fatima Hernandez,Alto 2,
